"company","total_Layoffs"
"Tonkean",23.0
"Citrine Informatics",22.0
"Clyde",22.0
"CommonBond",22.0
"Credit Sesame",22.0
"GoBear",22.0
"InVision",22.0
"Magic Eden",22.0
"Pipl",22.0
"Sherpa",22.0
"TextNow",22.0
"Gitpod",21.0
"Pocketmath",21.0
"Shakepay",21.0
"Teamwork",21.0
"VideoAmp",21.0
"Addepar",20.0
"Albert",20.0
"AngelList",20.0
"Argyle",20.0
"Augury",20.0
"Bleacher Report",20.0
"C2FO",20.0
"Caliva",20.0
"Crayon",20.0
"Drip",20.0
"Eatsy",20.0
"GrayMeta",20.0
"Immutable",20.0
"InfoSum",20.0
"JetClosing",20.0
"NuoDB",20.0
"Ocavu",20.0
"Opal",20.0
"Perimeter 81",20.0
"Perion",20.0
"Privitar",20.0
"Quidax",20.0
"Sales Boomerang",20.0
"Shipsi",20.0
"Stream",20.0
"Tamara Mellon",20.0
"The Sill",20.0
"Thimble",20.0
"TravelBank",20.0
"Xentral",20.0
"#Paid",19.0
"AU10TIX",19.0
"CoinTracker",19.0
"Intersect",19.0
"Stytch",19.0
"UPshow",19.0
"Glitch",18.0
"HealthMatch",18.0
"Homebot",18.0
"Kenoby",18.0
"Lendis",18.0
"Opencare",18.0
"Pana",18.0
"Rows",18.0
"Sharethrough",18.0
"Tidepool",18.0
"Yonder",18.0
"Amplero",17.0
"Anagram",17.0
"Clearbanc",17.0
"Connected",17.0
"G2",17.0
"Sensibill",17.0
"Zenoti",17.0
"Baton",16.0
"ContraFect",16.0
"Finite State",16.0
"Help.com",16.0
"Koinly",16.0
"OFFOR Health",16.0
"Rhumbix",16.0
"Top Hat",16.0
"Airtame",15.0
"Atlas Obscura",15.0
"Borrowell",15.0
"Clarify Health",15.0
"DataStax",15.0
"Forma.ai",15.0
"Horizn Studios",15.0
"Kodiak Robotics",15.0
"Koho",15.0
"Loop",15.0
"Teleport",15.0
"Triplebyte",15.0
"Usermind",15.0
"Vouch",15.0
"Finleap Connect",14.0
"G/O Media Group",14.0
"Lighthouse Labs",14.0
"OpenWeb",14.0
"Tulip Retail",14.0
"Amperity",13.0
"Arc",13.0
"Bridgit",13.0
"Consider.co",13.0
"Ladder Life",13.0
"Limelight",13.0
"Politico / Protocol",13.0
"Substack",13.0
"Syte",13.0
"The Org",13.0
"Tor",13.0
"Trove Recommerce",13.0
"100 Thieves",12.0
"Abra",12.0
"BookClub",12.0
"CNET",12.0
"Descartes Labs",12.0
"Dooly",12.0
"DSCO",12.0
"Hedvig",12.0
"Jama",12.0
"Kongregate",12.0
"MakerBot",12.0
"Pliops",12.0
"Anywell",11.0
"Compete",11.0
"GetNinjas",11.0
"Loopio",11.0
"Venngage",11.0
"Bringg",10.0
"CoinJar",10.0
"Digital Currency Gruop",10.0
"Dotscience",10.0
"Element Analytics",10.0
"Forward",10.0
"Her Campus Media",10.0
"Humble",10.0
